"x.y.iso";"t";"kcr";"value"
"-29p25.-20p25.BRA";1995;"cropland";0
"-29p25.-20p75.BRA";1995;"cropland";0
"-32p25.-3p75.BRA";1995;"cropland";0
"-34p75.-7p25.BRA";1995;"cropland";52614.0538614154
"-34p75.-7p75.BRA";1995;"cropland";43134.2457878629
"-34p75.-8p25.BRA";1995;"cropland";9527.56779430407
"-35p25.-5p25.BRA";1995;"cropland";14171.3511162728
"-35p25.-5p75.BRA";1995;"cropland";42535.4031021739
"-35p25.-6p25.BRA";1995;"cropland";84901.0131063105
"-35p25.-6p75.BRA";1995;"cropland";88861.6968704062
"-35p25.-7p25.BRA";1995;"cropland";119220.189606046
"-35p25.-7p75.BRA";1995;"cropland";155971.165887396
"-35p25.-8p25.BRA";1995;"cropland";154194.271577215
"-35p25.-8p75.BRA";1995;"cropland";97742.7483655026
"-35p25.-9p25.BRA";1995;"cropland";27887.1311447096
"-35p75.-5p25.BRA";1995;"cropland";48348.2370986134
"-35p75.-5p75.BRA";1995;"cropland";39363.6184696047
"-35p75.-6p25.BRA";1995;"cropland";92569.9244968102
"-35p75.-6p75.BRA";1995;"cropland";99769.8530207694
"-35p75.-7p25.BRA";1995;"cropland";107355.736216479
"-35p75.-7p75.BRA";1995;"cropland";71324.5539568948
"-35p75.-8p25.BRA";1995;"cropland";42573.431723911
"-35p75.-8p75.BRA";1995;"cropland";90473.5451523342
"-35p75.-9p25.BRA";1995;"cropland";113646.325298396
"-35p75.-9p75.BRA";1995;"cropland";32673.7779205044
"-36p25.-10p25.BRA";1995;"cropland";63358.4436663394
"-36p25.-5p25.BRA";1995;"cropland";13054.460960312
"-36p25.-5p75.BRA";1995;"cropland";14604.1003038224
"-36p25.-6p25.BRA";1995;"cropland";61764.4117139575
"-36p25.-6p75.BRA";1995;"cropland";58573.5915491928
"-36p25.-7p25.BRA";1995;"cropland";32306.6163327821
"-36p25.-7p75.BRA";1995;"cropland";16949.423968597
"-36p25.-8p25.BRA";1995;"cropland";34849.8256560387
"-36p25.-8p75.BRA";1995;"cropland";79570.8925496701
"-36p25.-9p25.BRA";1995;"cropland";68680.8735454215
"-36p25.-9p75.BRA";1995;"cropland";145963.193002157
"-36p75.-10p25.BRA";1995;"cropland";53511.1698687915
"-36p75.-10p75.BRA";1995;"cropland";24785.2517577042
"-36p75.-5p25.BRA";1995;"cropland";18501.3450297344
"-36p75.-5p75.BRA";1995;"cropland";10199.7809238317
"-36p75.-6p25.BRA";1995;"cropland";18118.146977824
"-36p75.-6p75.BRA";1995;"cropland";21356.5056217729
"-36p75.-7p25.BRA";1995;"cropland";40471.5788540256
"-36p75.-7p75.BRA";1995;"cropland";12667.4847292289
"-36p75.-8p25.BRA";1995;"cropland";25535.3706461561
"-36p75.-8p75.BRA";1995;"cropland";49009.3209398582
"-36p75.-9p25.BRA";1995;"cropland";55904.4879296879
"-36p75.-9p75.BRA";1995;"cropland";101685.672741036
"-37p25.-10p25.BRA";1995;"cropland";40349.7984167906
"-37p25.-10p75.BRA";1995;"cropland";41645.2501663251
"-37p25.-11p25.BRA";1995;"cropland";23936.3192074024
"-37p25.-4p75.BRA";1995;"cropland";33908.5474402125
"-37p25.-5p25.BRA";1995;"cropland";40096.2110757516
"-37p25.-5p75.BRA";1995;"cropland";12628.9611238652
"-37p25.-6p25.BRA";1995;"cropland";7777.31288456562
"-37p25.-6p75.BRA";1995;"cropland";7598.96721446185
"-37p25.-7p25.BRA";1995;"cropland";49986.761479562
"-37p25.-7p75.BRA";1995;"cropland";47955.8824597652
"-37p25.-8p25.BRA";1995;"cropland";19328.1315080692
"-37p25.-8p75.BRA";1995;"cropland";34782.4272194037
"-37p25.-9p25.BRA";1995;"cropland";89938.2125246663
"-37p25.-9p75.BRA";1995;"cropland";72976.3228411922
"-37p75.-10p25.BRA";1995;"cropland";51174.0185491406
"-37p75.-10p75.BRA";1995;"cropland";107374.207593914
"-37p75.-11p25.BRA";1995;"cropland";51157.2177587748
"-37p75.-11p75.BRA";1995;"cropland";47416.8650291441
"-37p75.-12p25.BRA";1995;"cropland";4109.40967689404
"-37p75.-12p75.BRA";1995;"cropland";76.3068283106913
"-37p75.-4p25.BRA";1995;"cropland";11414.2705729042
"-37p75.-4p75.BRA";1995;"cropland";58282.5013211072
"-37p75.-5p25.BRA";1995;"cropland";38388.2961239384
"-37p75.-5p75.BRA";1995;"cropland";37924.5969479557
"-37p75.-6p25.BRA";1995;"cropland";33272.7335932909
"-37p75.-6p75.BRA";1995;"cropland";10070.5480696272
"-37p75.-7p25.BRA";1995;"cropland";33914.005784604
"-37p75.-7p75.BRA";1995;"cropland";103479.32827582
"-37p75.-8p25.BRA";1995;"cropland";23121.8043261291
"-37p75.-8p75.BRA";1995;"cropland";16671.1035782992
"-37p75.-9p25.BRA";1995;"cropland";59503.4273424633
"-37p75.-9p75.BRA";1995;"cropland";45414.0939295949
"-38p25.-10p25.BRA";1995;"cropland";38489.5775662644
"-38p25.-10p75.BRA";1995;"cropland";93444.65202141
"-38p25.-11p25.BRA";1995;"cropland";19157.7447967484
"-38p25.-11p75.BRA";1995;"cropland";22114.6262033734
"-38p25.-12p25.BRA";1995;"cropland";9457.96957854381
"-38p25.-12p75.BRA";1995;"cropland";5764.44334614578
"-38p25.-13p25.BRA";1995;"cropland";1.3172256467973
"-38p25.-3p75.BRA";1995;"cropland";3705.21014496358
"-38p25.-4p25.BRA";1995;"cropland";70859.0779316173
"-38p25.-4p75.BRA";1995;"cropland";35280.415683897
"-38p25.-5p25.BRA";1995;"cropland";34968.739291885
"-38p25.-5p75.BRA";1995;"cropland";58826.9342635998
"-38p25.-6p25.BRA";1995;"cropland";35657.9233757754
"-38p25.-6p75.BRA";1995;"cropland";20267.308118106
"-38p25.-7p25.BRA";1995;"cropland";38390.1046708879
"-38p25.-7p75.BRA";1995;"cropland";73256.9170948443
"-38p25.-8p25.BRA";1995;"cropland";12185.9951636836
"-38p25.-8p75.BRA";1995;"cropland";10306.9548285149
"-38p25.-9p25.BRA";1995;"cropland";12982.9334917019
"-38p25.-9p75.BRA";1995;"cropland";11722.1769864801
"-38p75.-10p25.BRA";1995;"cropland";17080.5105700524
"-38p75.-10p75.BRA";1995;"cropland";43160.5182859999
"-38p75.-11p25.BRA";1995;"cropland";29222.7696092345
"-38p75.-11p75.BRA";1995;"cropland";27233.9287066396
"-38p75.-12p25.BRA";1995;"cropland";38683.478865279
"-38p75.-12p75.BRA";1995;"cropland";23128.1698961609
"-38p75.-13p25.BRA";1995;"cropland";6265.40429439061
"-38p75.-13p75.BRA";1995;"cropland";3965.7489652132
