"x.y.iso";"t";"kcr";"value"
"-29p25.-20p25.BRA";2024;"cropland";0
"-29p25.-20p75.BRA";2024;"cropland";0
"-32p25.-3p75.BRA";2024;"cropland";0
"-34p75.-7p25.BRA";2024;"cropland";22604.0555643125
"-34p75.-7p75.BRA";2024;"cropland";19455.6124669915
"-34p75.-8p25.BRA";2024;"cropland";5966.977980079
"-35p25.-5p25.BRA";2024;"cropland";9090.35920957354
"-35p25.-5p75.BRA";2024;"cropland";17364.341528162
"-35p25.-6p25.BRA";2024;"cropland";67064.7557460344
"-35p25.-6p75.BRA";2024;"cropland";71203.0776739795
"-35p25.-7p25.BRA";2024;"cropland";79862.796343149
"-35p25.-7p75.BRA";2024;"cropland";90568.8380054342
"-35p25.-8p25.BRA";2024;"cropland";101011.230944394
"-35p25.-8p75.BRA";2024;"cropland";61075.2197624657
"-35p25.-9p25.BRA";2024;"cropland";15888.1549819188
"-35p75.-5p25.BRA";2024;"cropland";23832.2478494498
"-35p75.-5p75.BRA";2024;"cropland";18778.2810536489
"-35p75.-6p25.BRA";2024;"cropland";20451.0966222215
"-35p75.-6p75.BRA";2024;"cropland";44044.0028273038
"-35p75.-7p25.BRA";2024;"cropland";40721.1594192678
"-35p75.-7p75.BRA";2024;"cropland";33372.704864559
"-35p75.-8p25.BRA";2024;"cropland";18662.2630713913
"-35p75.-8p75.BRA";2024;"cropland";37869.5497460787
"-35p75.-9p25.BRA";2024;"cropland";62368.7037611602
"-35p75.-9p75.BRA";2024;"cropland";33799.5812762646
"-36p25.-10p25.BRA";2024;"cropland";74295.2343869414
"-36p25.-5p25.BRA";2024;"cropland";5597.86555853307
"-36p25.-5p75.BRA";2024;"cropland";11177.435582478
"-36p25.-6p25.BRA";2024;"cropland";18817.9160608468
"-36p25.-6p75.BRA";2024;"cropland";9624.91755244951
"-36p25.-7p25.BRA";2024;"cropland";7577.51335804632
"-36p25.-7p75.BRA";2024;"cropland";6806.17235404182
"-36p25.-8p25.BRA";2024;"cropland";7173.7473564816
"-36p25.-8p75.BRA";2024;"cropland";52119.9689467165
"-36p25.-9p25.BRA";2024;"cropland";28969.0608467626
"-36p25.-9p75.BRA";2024;"cropland";105407.835916348
"-36p75.-10p25.BRA";2024;"cropland";51780.9844004905
"-36p75.-10p75.BRA";2024;"cropland";17480.2181600384
"-36p75.-5p25.BRA";2024;"cropland";22380.8230620022
"-36p75.-5p75.BRA";2024;"cropland";4990.02334602735
"-36p75.-6p25.BRA";2024;"cropland";11704.0647878416
"-36p75.-6p75.BRA";2024;"cropland";4843.38699530601
"-36p75.-7p25.BRA";2024;"cropland";9168.28178030642
"-36p75.-7p75.BRA";2024;"cropland";5871.8082159035
"-36p75.-8p25.BRA";2024;"cropland";7510.92546393834
"-36p75.-8p75.BRA";2024;"cropland";22858.0076643099
"-36p75.-9p25.BRA";2024;"cropland";16393.8518025125
"-36p75.-9p75.BRA";2024;"cropland";39307.1510027217
"-37p25.-10p25.BRA";2024;"cropland";41882.1766900857
"-37p25.-10p75.BRA";2024;"cropland";39422.1109718764
"-37p25.-11p25.BRA";2024;"cropland";10978.5105150682
"-37p25.-4p75.BRA";2024;"cropland";17698.3750077924
"-37p25.-5p25.BRA";2024;"cropland";44258.4076012526
"-37p25.-5p75.BRA";2024;"cropland";5078.30873130673
"-37p25.-6p25.BRA";2024;"cropland";1737.48068606363
"-37p25.-6p75.BRA";2024;"cropland";3359.12855880545
"-37p25.-7p25.BRA";2024;"cropland";23678.3112488427
"-37p25.-7p75.BRA";2024;"cropland";20489.0633760676
"-37p25.-8p25.BRA";2024;"cropland";5314.35365650578
"-37p25.-8p75.BRA";2024;"cropland";6648.99306984683
"-37p25.-9p25.BRA";2024;"cropland";11411.6904254388
"-37p25.-9p75.BRA";2024;"cropland";17691.26361898
"-37p75.-10p25.BRA";2024;"cropland";69235.5466417905
"-37p75.-10p75.BRA";2024;"cropland";89335.0872025206
"-37p75.-11p25.BRA";2024;"cropland";41636.8343496239
"-37p75.-11p75.BRA";2024;"cropland";38392.7756436606
"-37p75.-12p25.BRA";2024;"cropland";5056.0298242316
"-37p75.-12p75.BRA";2024;"cropland";17.3073164757686
"-37p75.-4p25.BRA";2024;"cropland";10525.7831003482
"-37p75.-4p75.BRA";2024;"cropland";26846.859814044
"-37p75.-5p25.BRA";2024;"cropland";23687.8739000709
"-37p75.-5p75.BRA";2024;"cropland";21992.4430732234
"-37p75.-6p25.BRA";2024;"cropland";9046.42636031841
"-37p75.-6p75.BRA";2024;"cropland";3950.81820221612
"-37p75.-7p25.BRA";2024;"cropland";10100.1770693243
"-37p75.-7p75.BRA";2024;"cropland";42080.9189932249
"-37p75.-8p25.BRA";2024;"cropland";12756.0934419206
"-37p75.-8p75.BRA";2024;"cropland";6844.44642891034
"-37p75.-9p25.BRA";2024;"cropland";14003.9497345815
"-37p75.-9p75.BRA";2024;"cropland";9546.34927201363
"-38p25.-10p25.BRA";2024;"cropland";44224.6204377365
"-38p25.-10p75.BRA";2024;"cropland";77816.7829567245
"-38p25.-11p25.BRA";2024;"cropland";47440.5570434087
"-38p25.-11p75.BRA";2024;"cropland";32882.2744288736
"-38p25.-12p25.BRA";2024;"cropland";4485.17064187115
"-38p25.-12p75.BRA";2024;"cropland";1118.44005940141
"-38p25.-13p25.BRA";2024;"cropland";0.0522708589998927
"-38p25.-3p75.BRA";2024;"cropland";1928.94127018339
"-38p25.-4p25.BRA";2024;"cropland";59673.8754541355
"-38p25.-4p75.BRA";2024;"cropland";29300.9551942124
"-38p25.-5p25.BRA";2024;"cropland";17080.4170106111
"-38p25.-5p75.BRA";2024;"cropland";20812.3637610415
"-38p25.-6p25.BRA";2024;"cropland";17071.6376387676
"-38p25.-6p75.BRA";2024;"cropland";13322.365000363
"-38p25.-7p25.BRA";2024;"cropland";9609.298998397
"-38p25.-7p75.BRA";2024;"cropland";19334.144772675
"-38p25.-8p25.BRA";2024;"cropland";6151.54560497678
