"x.y.iso";"t";"kcr";"value"
"-29p25.-20p25.BRA";2020;"maiz";0
"-29p25.-20p75.BRA";2020;"maiz";0
"-32p25.-3p75.BRA";2020;"maiz";0
"-34p75.-7p25.BRA";2020;"maiz";3.6851434349717e-05
"-34p75.-7p75.BRA";2020;"maiz";1.16613816e-13
"-34p75.-8p25.BRA";2020;"maiz";0
"-35p25.-5p25.BRA";2020;"maiz";0.000260761583846985
"-35p25.-5p75.BRA";2020;"maiz";0.00126725767556413
"-35p25.-6p25.BRA";2020;"maiz";0.0011615077355661
"-35p25.-6p75.BRA";2020;"maiz";0.00238596273898018
"-35p25.-7p25.BRA";2020;"maiz";0.00406877612179719
"-35p25.-7p75.BRA";2020;"maiz";0.00119242098842673
"-35p25.-8p25.BRA";2020;"maiz";0.000245047516674496
"-35p25.-8p75.BRA";2020;"maiz";0
"-35p25.-9p25.BRA";2020;"maiz";0
"-35p75.-5p25.BRA";2020;"maiz";0.00161208696810895
"-35p75.-5p75.BRA";2020;"maiz";0.0036865425233442
"-35p75.-6p25.BRA";2020;"maiz";0.010179492837814
"-35p75.-6p75.BRA";2020;"maiz";0.0125818302087242
"-35p75.-7p25.BRA";2020;"maiz";0.0106543083246204
"-35p75.-7p75.BRA";2020;"maiz";0.0120309336125583
"-35p75.-8p25.BRA";2020;"maiz";0.00358675010379593
"-35p75.-8p75.BRA";2020;"maiz";0.00104269119618149
"-35p75.-9p25.BRA";2020;"maiz";0.000570009006067613
"-35p75.-9p75.BRA";2020;"maiz";9.56662891486519e-06
"-36p25.-10p25.BRA";2020;"maiz";0.00242690558633877
"-36p25.-5p25.BRA";2020;"maiz";0.00180665571043817
"-36p25.-5p75.BRA";2020;"maiz";0.00227931399655773
"-36p25.-6p25.BRA";2020;"maiz";0.00541684451740544
"-36p25.-6p75.BRA";2020;"maiz";0.00688693314477872
"-36p25.-7p25.BRA";2020;"maiz";0.00288070634186164
"-36p25.-7p75.BRA";2020;"maiz";0.00254775159010747
"-36p25.-8p25.BRA";2020;"maiz";0.00225829567211756
"-36p25.-8p75.BRA";2020;"maiz";0.00247993657261795
"-36p25.-9p25.BRA";2020;"maiz";0.00199719927211759
"-36p25.-9p75.BRA";2020;"maiz";0.00580856628351637
"-36p75.-10p25.BRA";2020;"maiz";0.00216120565584448
"-36p75.-10p75.BRA";2020;"maiz";0.000373532147568777
"-36p75.-5p25.BRA";2020;"maiz";0.00200108783511244
"-36p75.-5p75.BRA";2020;"maiz";0.00146828590341819
"-36p75.-6p25.BRA";2020;"maiz";0.00250818311348849
"-36p75.-6p75.BRA";2020;"maiz";0.00216580789114869
"-36p75.-7p25.BRA";2020;"maiz";0.00476990794470968
"-36p75.-7p75.BRA";2020;"maiz";0.00300390500889752
"-36p75.-8p25.BRA";2020;"maiz";0.00171732692278164
"-36p75.-8p75.BRA";2020;"maiz";0.00207067314272309
"-36p75.-9p25.BRA";2020;"maiz";0.00275291981905278
"-36p75.-9p75.BRA";2020;"maiz";0.0083096163933796
"-37p25.-10p25.BRA";2020;"maiz";0.025794884304677
"-37p25.-10p75.BRA";2020;"maiz";0.00419427823828791
"-37p25.-11p25.BRA";2020;"maiz";0.000544546209877163
"-37p25.-4p75.BRA";2020;"maiz";0.00117532603115944
"-37p25.-5p25.BRA";2020;"maiz";0.00333630435862539
"-37p25.-5p75.BRA";2020;"maiz";0.0021520966709111
"-37p25.-6p25.BRA";2020;"maiz";0.00101659917755207
"-37p25.-6p75.BRA";2020;"maiz";0.00227659893106333
"-37p25.-7p25.BRA";2020;"maiz";0.0107843856861865
"-37p25.-7p75.BRA";2020;"maiz";0.0115042520577947
"-37p25.-8p25.BRA";2020;"maiz";0.00294798057870673
"-37p25.-8p75.BRA";2020;"maiz";0.00402573347963026
"-37p25.-9p25.BRA";2020;"maiz";0.00628127050121306
"-37p25.-9p75.BRA";2020;"maiz";0.00480024722779959
"-37p75.-10p25.BRA";2020;"maiz";0.0598920455029257
"-37p75.-10p75.BRA";2020;"maiz";0.0848154603344495
"-37p75.-11p25.BRA";2020;"maiz";0.00979238925708334
"-37p75.-11p75.BRA";2020;"maiz";0.00467167735243422
"-37p75.-12p25.BRA";2020;"maiz";0.00102971125363504
"-37p75.-12p75.BRA";2020;"maiz";7.43441429371505e-07
"-37p75.-4p25.BRA";2020;"maiz";0.000381676258422881
"-37p75.-4p75.BRA";2020;"maiz";0.00435352110193026
"-37p75.-5p25.BRA";2020;"maiz";0.00805863128106588
"-37p75.-5p75.BRA";2020;"maiz";0.00257219259800792
"-37p75.-6p25.BRA";2020;"maiz";0.00466907325421057
"-37p75.-6p75.BRA";2020;"maiz";0.00176611544264732
"-37p75.-7p25.BRA";2020;"maiz";0.00554676053211344
"-37p75.-7p75.BRA";2020;"maiz";0.0246498735230438
"-37p75.-8p25.BRA";2020;"maiz";0.00802079498633584
"-37p75.-8p75.BRA";2020;"maiz";0.00430298900413344
"-37p75.-9p25.BRA";2020;"maiz";0.00645319163777587
"-37p75.-9p75.BRA";2020;"maiz";0.00538140389315536
"-38p25.-10p25.BRA";2020;"maiz";0.02759585868678
"-38p25.-10p75.BRA";2020;"maiz";0.0422724191105659
"-38p25.-11p25.BRA";2020;"maiz";0.0226929458460785
"-38p25.-11p75.BRA";2020;"maiz";0.0113170006698908
"-38p25.-12p25.BRA";2020;"maiz";0.000892126981895015
"-38p25.-12p75.BRA";2020;"maiz";1.8512772826462e-05
"-38p25.-13p25.BRA";2020;"maiz";0
"-38p25.-3p75.BRA";2020;"maiz";0.000128919533503469
"-38p25.-4p25.BRA";2020;"maiz";0.00354925984808016
"-38p25.-4p75.BRA";2020;"maiz";0.00539591003537024
"-38p25.-5p25.BRA";2020;"maiz";0.00580193969968255
"-38p25.-5p75.BRA";2020;"maiz";0.00410129406597623
"-38p25.-6p25.BRA";2020;"maiz";0.00912625711155438
"-38p25.-6p75.BRA";2020;"maiz";0.00427087039969621
"-38p25.-7p25.BRA";2020;"maiz";0.00555259154511415
"-38p25.-7p75.BRA";2020;"maiz";0.00877351323140564
"-38p25.-8p25.BRA";2020;"maiz";0.00318028466264353
"-38p25.-8p75.BRA";2020;"maiz";0.00193888562864966
"-38p25.-9p25.BRA";2020;"maiz";0.00478758656686542
"-38p25.-9p75.BRA";2020;"maiz";0.00966323353986262
"-38p75.-10p25.BRA";2020;"maiz";0.0109745479277225
"-38p75.-10p75.BRA";2020;"maiz";0.0135902013725767
"-38p75.-11p25.BRA";2020;"maiz";0.00631376069023119
"-38p75.-11p75.BRA";2020;"maiz";0.00980361970194138
"-38p75.-12p25.BRA";2020;"maiz";0.00562809860437748
"-38p75.-12p75.BRA";2020;"maiz";0.000275073898433313
"-38p75.-13p25.BRA";2020;"maiz";8.63275987714152e-06
"-38p75.-13p75.BRA";2020;"maiz";8.68954186978615e-07
"-38p75.-14p25.BRA";2020;"maiz";1.35248206426917e-07
"-38p75.-15p25.BRA";2020;"maiz";1.16295092661327e-08
"-38p75.-15p75.BRA";2020;"maiz";4.15105978700434e-06
"-38p75.-16p25.BRA";2020;"maiz";9.00268449206264e-07
"-38p75.-3p75.BRA";2020;"maiz";0.00360971412149124
"-38p75.-4p25.BRA";2020;"maiz";0.0155620756569897
"-38p75.-4p75.BRA";2020;"maiz";0.0113105658615223
"-38p75.-5p25.BRA";2020;"maiz";0.00450420450263028
"-38p75.-5p75.BRA";2020;"maiz";0.0036671222553404
"-38p75.-6p25.BRA";2020;"maiz";0.00980493433353424
"-38p75.-6p75.BRA";2020;"maiz";0.00793675525684824
"-38p75.-7p25.BRA";2020;"maiz";0.0137949072983004
"-38p75.-7p75.BRA";2020;"maiz";0.00755299294306016
"-38p75.-8p25.BRA";2020;"maiz";0.00288617741962572
"-38p75.-8p75.BRA";2020;"maiz";0.000656967677953477
"-38p75.-9p25.BRA";2020;"maiz";0.000801794544659072
"-38p75.-9p75.BRA";2020;"maiz";0.00522505855263357
"-39p25.-10p25.BRA";2020;"maiz";0.00571336677811714
"-39p25.-10p75.BRA";2020;"maiz";0.0204949881458722
"-39p25.-11p25.BRA";2020;"maiz";0.00600342592980359
"-39p25.-11p75.BRA";2020;"maiz";0.0063654264447125
"-39p25.-12p25.BRA";2020;"maiz";0.0106286676297764
"-39p25.-12p75.BRA";2020;"maiz";0.00240102083144044
"-39p25.-13p25.BRA";2020;"maiz";0.00012912349783367
"-39p25.-13p75.BRA";2020;"maiz";3.56265750639678e-05
"-39p25.-14p25.BRA";2020;"maiz";1.49642040779514e-05
"-39p25.-14p75.BRA";2020;"maiz";3.74573885797028e-05
"-39p25.-15p25.BRA";2020;"maiz";1.08916442674744e-06
"-39p25.-15p75.BRA";2020;"maiz";1.43631949943175e-05
"-39p25.-16p25.BRA";2020;"maiz";1.66783152679962e-05
"-39p25.-16p75.BRA";2020;"maiz";2.755794195537e-05
"-39p25.-17p25.BRA";2020;"maiz";8.14249384060119e-05
"-39p25.-17p75.BRA";2020;"maiz";1.90979872301849e-05
"-39p25.-3p25.BRA";2020;"maiz";0.0062015024091303
"-39p25.-3p75.BRA";2020;"maiz";0.0116124302033996
"-39p25.-4p25.BRA";2020;"maiz";0.0257032171297058
"-39p25.-4p75.BRA";2020;"maiz";0.0122576968394334
"-39p25.-5p25.BRA";2020;"maiz";0.00838393513654659
"-39p25.-5p75.BRA";2020;"maiz";0.0169594401987965
"-39p25.-6p25.BRA";2020;"maiz";0.0143704980137107
"-39p25.-6p75.BRA";2020;"maiz";0.00857833901283161
"-39p25.-7p25.BRA";2020;"maiz";0.00919767385318258
"-39p25.-7p75.BRA";2020;"maiz";0.00851733840051513
"-39p25.-8p25.BRA";2020;"maiz";0.00155256494970218
"-39p25.-8p75.BRA";2020;"maiz";0.00079540529829381
"-39p25.-9p25.BRA";2020;"maiz";0.000225422828451847
"-39p25.-9p75.BRA";2020;"maiz";0.000141726673052475
"-39p75.-10p25.BRA";2020;"maiz";0.00476207941409258
"-39p75.-10p75.BRA";2020;"maiz";0.0086214544483752
"-39p75.-11p25.BRA";2020;"maiz";0.00170257219204246
"-39p75.-11p75.BRA";2020;"maiz";0.00220753044822834
"-39p75.-12p25.BRA";2020;"maiz";0.00199606575064958
"-39p75.-12p75.BRA";2020;"maiz";0.000659623537326259
"-39p75.-13p25.BRA";2020;"maiz";0.000136458344955688
"-39p75.-13p75.BRA";2020;"maiz";3.30570971265246e-05
"-39p75.-14p25.BRA";2020;"maiz";6.02941735421994e-05
"-39p75.-14p75.BRA";2020;"maiz";0.000137937816202865
"-39p75.-15p25.BRA";2020;"maiz";4.22718712930787e-07
"-39p75.-15p75.BRA";2020;"maiz";1.94881211986243e-05
"-39p75.-16p25.BRA";2020;"maiz";6.12737982906495e-05
"-39p75.-16p75.BRA";2020;"maiz";8.55719781680403e-05
"-39p75.-17p25.BRA";2020;"maiz";0.000100615709788864
"-39p75.-17p75.BRA";2020;"maiz";4.3710280941133e-05
"-39p75.-18p25.BRA";2020;"maiz";8.27617388586106e-05
"-39p75.-18p75.BRA";2020;"maiz";5.20918442168424e-05
"-39p75.-19p25.BRA";2020;"maiz";0.000134168485225201
"-39p75.-19p75.BRA";2020;"maiz";4.13248019802944e-05
"-39p75.-2p75.BRA";2020;"maiz";0.000882400952070663
"-39p75.-3p25.BRA";2020;"maiz";0.0106043526313754
"-39p75.-3p75.BRA";2020;"maiz";0.00919426894548629
"-39p75.-4p25.BRA";2020;"maiz";0.0127514107295508
"-39p75.-4p75.BRA";2020;"maiz";0.0155285909542713
"-39p75.-5p25.BRA";2020;"maiz";0.0126414128096627
"-39p75.-5p75.BRA";2020;"maiz";0.0163825403330409
"-39p75.-6p25.BRA";2020;"maiz";0.0103550687252126
"-39p75.-6p75.BRA";2020;"maiz";0.0119827787449634
"-39p75.-7p25.BRA";2020;"maiz";0.0110717776933326
"-39p75.-7p75.BRA";2020;"maiz";0.0110598680502969
"-39p75.-8p25.BRA";2020;"maiz";0.00244643153248503
"-39p75.-8p75.BRA";2020;"maiz";0.000996635205118262
"-39p75.-9p25.BRA";2020;"maiz";0.000281706447945152
"-39p75.-9p75.BRA";2020;"maiz";0.000709856553283972
"-40p25.-10p25.BRA";2020;"maiz";0.00236612927565094
"-40p25.-10p75.BRA";2020;"maiz";0.00433901869695172
"-40p25.-11p25.BRA";2020;"maiz";0.00169856757472912
"-40p25.-11p75.BRA";2020;"maiz";0.0040818656356343
"-40p25.-12p25.BRA";2020;"maiz";0.00109180651982387
"-40p25.-12p75.BRA";2020;"maiz";0.000138609474493048
"-40p25.-13p25.BRA";2020;"maiz";0.000233852657656095
"-40p25.-13p75.BRA";2020;"maiz";4.72394809185288e-05
"-40p25.-14p25.BRA";2020;"maiz";0.000385393635237747
"-40p25.-14p75.BRA";2020;"maiz";0.00122792510118555
"-40p25.-15p25.BRA";2020;"maiz";0.000132771628877215
"-40p25.-15p75.BRA";2020;"maiz";0.00012763184926073
"-40p25.-16p25.BRA";2020;"maiz";0.000198073557194401
"-40p25.-16p75.BRA";2020;"maiz";0.000180227318456258
"-40p25.-17p25.BRA";2020;"maiz";5.33877377434473e-05
"-40p25.-17p75.BRA";2020;"maiz";0.000244976837964928
"-40p25.-18p25.BRA";2020;"maiz";0.000792670218638294
"-40p25.-18p75.BRA";2020;"maiz";0.000152289709989216
"-40p25.-19p25.BRA";2020;"maiz";0.00025367004682726
"-40p25.-19p75.BRA";2020;"maiz";0.000202659672664436
"-40p25.-20p25.BRA";2020;"maiz";7.60670965515595e-05
"-40p25.-2p75.BRA";2020;"maiz";0.00393231949777618
"-40p25.-3p25.BRA";2020;"maiz";0.00852954501519524
"-40p25.-3p75.BRA";2020;"maiz";0.00945941413427236
"-40p25.-4p25.BRA";2020;"maiz";0.0142574037899946
"-40p25.-4p75.BRA";2020;"maiz";0.0201608854097439
"-40p25.-5p25.BRA";2020;"maiz";0.0126524541340533
"-40p25.-5p75.BRA";2020;"maiz";0.0104366599119743
"-40p25.-6p25.BRA";2020;"maiz";0.00880699917737755
"-40p25.-6p75.BRA";2020;"maiz";0.00921331909964323
"-40p25.-7p25.BRA";2020;"maiz";0.0141825671189151
"-40p25.-7p75.BRA";2020;"maiz";0.0165654743943338
"-40p25.-8p25.BRA";2020;"maiz";0.0109441517369763
"-40p25.-8p75.BRA";2020;"maiz";0.00240872244239225
"-40p25.-9p25.BRA";2020;"maiz";0.00134586135142033
"-40p25.-9p75.BRA";2020;"maiz";0.000699358704317892
"-40p75.-10p25.BRA";2020;"maiz";0.00114680212811742
"-40p75.-10p75.BRA";2020;"maiz";0.00153153892862521
"-40p75.-11p25.BRA";2020;"maiz";0.00138046653330887
"-40p75.-11p75.BRA";2020;"maiz";0.000945687178748777
"-40p75.-12p25.BRA";2020;"maiz";0.000436103678425809
"-40p75.-12p75.BRA";2020;"maiz";0.000391332035978176
"-40p75.-13p25.BRA";2020;"maiz";0.000183020501694113
"-40p75.-13p75.BRA";2020;"maiz";0.000122514931080774
"-40p75.-14p25.BRA";2020;"maiz";0.000518571421464298
"-40p75.-14p75.BRA";2020;"maiz";0.00116012230641746
"-40p75.-15p25.BRA";2020;"maiz";0.000807218414678335
"-40p75.-15p75.BRA";2020;"maiz";0.000760860575285426
"-40p75.-16p25.BRA";2020;"maiz";0.000273176474652504
"-40p75.-16p75.BRA";2020;"maiz";0.000370664978113356
"-40p75.-17p25.BRA";2020;"maiz";0.000115575607022993
"-40p75.-17p75.BRA";2020;"maiz";0.000262954712557523
"-40p75.-18p25.BRA";2020;"maiz";0.000397855762557399
"-40p75.-18p75.BRA";2020;"maiz";0.000222100079062391
"-40p75.-19p25.BRA";2020;"maiz";0.000244746143455131
"-40p75.-19p75.BRA";2020;"maiz";0.000449726233038597
"-40p75.-20p25.BRA";2020;"maiz";0.00211516137460695
"-40p75.-20p75.BRA";2020;"maiz";0.000473470149565019
"-40p75.-21p25.BRA";2020;"maiz";1.06599027686362e-05
"-40p75.-2p75.BRA";2020;"maiz";0.00283997101948582
"-40p75.-3p25.BRA";2020;"maiz";0.00686145469077352
"-40p75.-3p75.BRA";2020;"maiz";0.0108609979786075
"-40p75.-4p25.BRA";2020;"maiz";0.0187632022750094
"-40p75.-4p75.BRA";2020;"maiz";0.0107841538597883
"-40p75.-5p25.BRA";2020;"maiz";0.0166014016499414
"-40p75.-5p75.BRA";2020;"maiz";0.0179086921429238
