x.y.iso;t;kcr;value
"-29p25.-20p25.BRA";2020;"soybean";0
"-29p25.-20p75.BRA";2020;"soybean";0
"-32p25.-3p75.BRA";2020;"soybean";0
"-34p75.-7p25.BRA";2020;"soybean";0
"-34p75.-7p75.BRA";2020;"soybean";0
"-34p75.-8p25.BRA";2020;"soybean";0
"-35p25.-5p25.BRA";2020;"soybean";0
"-35p25.-5p75.BRA";2020;"soybean";0
"-35p25.-6p25.BRA";2020;"soybean";0
"-35p25.-6p75.BRA";2020;"soybean";0
"-35p25.-7p25.BRA";2020;"soybean";0
"-35p25.-7p75.BRA";2020;"soybean";0
"-35p25.-8p25.BRA";2020;"soybean";0
"-35p25.-8p75.BRA";2020;"soybean";4.41015205446998e-05
"-35p25.-9p25.BRA";2020;"soybean";0
"-35p75.-5p25.BRA";2020;"soybean";0
"-35p75.-5p75.BRA";2020;"soybean";0
"-35p75.-6p25.BRA";2020;"soybean";0
"-35p75.-6p75.BRA";2020;"soybean";0
"-35p75.-7p25.BRA";2020;"soybean";0
"-35p75.-7p75.BRA";2020;"soybean";0
"-35p75.-8p25.BRA";2020;"soybean";0
"-35p75.-8p75.BRA";2020;"soybean";0.000309133331523473
"-35p75.-9p25.BRA";2020;"soybean";4.57651479318262e-05
"-35p75.-9p75.BRA";2020;"soybean";1.1217173681061e-06
"-36p25.-10p25.BRA";2020;"soybean";0
"-36p25.-5p25.BRA";2020;"soybean";0
"-36p25.-5p75.BRA";2020;"soybean";0
"-36p25.-6p25.BRA";2020;"soybean";0
"-36p25.-6p75.BRA";2020;"soybean";0
"-36p25.-7p25.BRA";2020;"soybean";0
"-36p25.-7p75.BRA";2020;"soybean";0
"-36p25.-8p25.BRA";2020;"soybean";0
"-36p25.-8p75.BRA";2020;"soybean";0
"-36p25.-9p25.BRA";2020;"soybean";0
"-36p25.-9p75.BRA";2020;"soybean";0.00081878826005665
"-36p75.-10p25.BRA";2020;"soybean";0
"-36p75.-10p75.BRA";2020;"soybean";0
"-36p75.-5p25.BRA";2020;"soybean";0
"-36p75.-5p75.BRA";2020;"soybean";0
"-36p75.-6p25.BRA";2020;"soybean";0
"-36p75.-6p75.BRA";2020;"soybean";0
"-36p75.-7p25.BRA";2020;"soybean";0
"-36p75.-7p75.BRA";2020;"soybean";0
"-36p75.-8p25.BRA";2020;"soybean";0
"-36p75.-8p75.BRA";2020;"soybean";0
"-36p75.-9p25.BRA";2020;"soybean";0
"-36p75.-9p75.BRA";2020;"soybean";5.0900225752437e-06
"-37p25.-10p25.BRA";2020;"soybean";0
"-37p25.-10p75.BRA";2020;"soybean";0
"-37p25.-11p25.BRA";2020;"soybean";0
"-37p25.-4p75.BRA";2020;"soybean";0
"-37p25.-5p25.BRA";2020;"soybean";0
"-37p25.-5p75.BRA";2020;"soybean";0
"-37p25.-6p25.BRA";2020;"soybean";0
"-37p25.-6p75.BRA";2020;"soybean";0
"-37p25.-7p25.BRA";2020;"soybean";0
"-37p25.-7p75.BRA";2020;"soybean";0
"-37p25.-8p25.BRA";2020;"soybean";0
"-37p25.-8p75.BRA";2020;"soybean";0
"-37p25.-9p25.BRA";2020;"soybean";0
"-37p25.-9p75.BRA";2020;"soybean";0
"-37p75.-10p25.BRA";2020;"soybean";0
"-37p75.-10p75.BRA";2020;"soybean";0
"-37p75.-11p25.BRA";2020;"soybean";5.85726565986475e-07
"-37p75.-11p75.BRA";2020;"soybean";0
"-37p75.-12p25.BRA";2020;"soybean";0
"-37p75.-12p75.BRA";2020;"soybean";0
"-37p75.-4p25.BRA";2020;"soybean";0
"-37p75.-4p75.BRA";2020;"soybean";0
"-37p75.-5p25.BRA";2020;"soybean";0.000169661729916032
"-37p75.-5p75.BRA";2020;"soybean";0
"-37p75.-6p25.BRA";2020;"soybean";0
"-37p75.-6p75.BRA";2020;"soybean";0
"-37p75.-7p25.BRA";2020;"soybean";0
"-37p75.-7p75.BRA";2020;"soybean";0
"-37p75.-8p25.BRA";2020;"soybean";0
"-37p75.-8p75.BRA";2020;"soybean";0
"-37p75.-9p25.BRA";2020;"soybean";0
"-37p75.-9p75.BRA";2020;"soybean";0
"-38p25.-10p25.BRA";2020;"soybean";0
"-38p25.-10p75.BRA";2020;"soybean";2.48028760417392e-06
"-38p25.-11p25.BRA";2020;"soybean";4.69339858298399e-05
"-38p25.-11p75.BRA";2020;"soybean";0
"-38p25.-12p25.BRA";2020;"soybean";0
"-38p25.-12p75.BRA";2020;"soybean";0
"-38p25.-13p25.BRA";2020;"soybean";0
"-38p25.-3p75.BRA";2020;"soybean";0
"-38p25.-4p25.BRA";2020;"soybean";0
"-38p25.-4p75.BRA";2020;"soybean";7.28869458663027e-06
"-38p25.-5p25.BRA";2020;"soybean";0.000273049575497338
"-38p25.-5p75.BRA";2020;"soybean";0
"-38p25.-6p25.BRA";2020;"soybean";0
"-38p25.-6p75.BRA";2020;"soybean";0
"-38p25.-7p25.BRA";2020;"soybean";0
"-38p25.-7p75.BRA";2020;"soybean";0
"-38p25.-8p25.BRA";2020;"soybean";0
"-38p25.-8p75.BRA";2020;"soybean";0
"-38p25.-9p25.BRA";2020;"soybean";0
"-38p25.-9p75.BRA";2020;"soybean";0
"-38p75.-10p25.BRA";2020;"soybean";0
"-38p75.-10p75.BRA";2020;"soybean";0
"-38p75.-11p25.BRA";2020;"soybean";0
"-38p75.-11p75.BRA";2020;"soybean";0
"-38p75.-12p25.BRA";2020;"soybean";0
"-38p75.-12p75.BRA";2020;"soybean";0
"-38p75.-13p25.BRA";2020;"soybean";0
"-38p75.-13p75.BRA";2020;"soybean";0
"-38p75.-14p25.BRA";2020;"soybean";0
"-38p75.-15p25.BRA";2020;"soybean";0
"-38p75.-15p75.BRA";2020;"soybean";0
"-38p75.-16p25.BRA";2020;"soybean";0
"-38p75.-3p75.BRA";2020;"soybean";0
"-38p75.-4p25.BRA";2020;"soybean";0
"-38p75.-4p75.BRA";2020;"soybean";0
"-38p75.-5p25.BRA";2020;"soybean";0
"-38p75.-5p75.BRA";2020;"soybean";0
"-38p75.-6p25.BRA";2020;"soybean";0
"-38p75.-6p75.BRA";2020;"soybean";0
"-38p75.-7p25.BRA";2020;"soybean";0
"-38p75.-7p75.BRA";2020;"soybean";0
"-38p75.-8p25.BRA";2020;"soybean";0
"-38p75.-8p75.BRA";2020;"soybean";0
"-38p75.-9p25.BRA";2020;"soybean";0
"-38p75.-9p75.BRA";2020;"soybean";0
"-39p25.-10p25.BRA";2020;"soybean";0
"-39p25.-10p75.BRA";2020;"soybean";0
"-39p25.-11p25.BRA";2020;"soybean";0
"-39p25.-11p75.BRA";2020;"soybean";0
"-39p25.-12p25.BRA";2020;"soybean";0
"-39p25.-12p75.BRA";2020;"soybean";0
"-39p25.-13p25.BRA";2020;"soybean";0
"-39p25.-13p75.BRA";2020;"soybean";0
"-39p25.-14p25.BRA";2020;"soybean";0
"-39p25.-14p75.BRA";2020;"soybean";0
"-39p25.-15p25.BRA";2020;"soybean";0
"-39p25.-15p75.BRA";2020;"soybean";0
"-39p25.-16p25.BRA";2020;"soybean";0
"-39p25.-16p75.BRA";2020;"soybean";0
"-39p25.-17p25.BRA";2020;"soybean";0
"-39p25.-17p75.BRA";2020;"soybean";0
"-39p25.-3p25.BRA";2020;"soybean";0
"-39p25.-3p75.BRA";2020;"soybean";0
"-39p25.-4p25.BRA";2020;"soybean";0
"-39p25.-4p75.BRA";2020;"soybean";0
"-39p25.-5p25.BRA";2020;"soybean";0
"-39p25.-5p75.BRA";2020;"soybean";0
"-39p25.-6p25.BRA";2020;"soybean";0
"-39p25.-6p75.BRA";2020;"soybean";0
"-39p25.-7p25.BRA";2020;"soybean";0
"-39p25.-7p75.BRA";2020;"soybean";0
"-39p25.-8p25.BRA";2020;"soybean";0
"-39p25.-8p75.BRA";2020;"soybean";0
"-39p25.-9p25.BRA";2020;"soybean";0
"-39p25.-9p75.BRA";2020;"soybean";0
"-39p75.-10p25.BRA";2020;"soybean";0
"-39p75.-10p75.BRA";2020;"soybean";0
"-39p75.-11p25.BRA";2020;"soybean";0
"-39p75.-11p75.BRA";2020;"soybean";0
"-39p75.-12p25.BRA";2020;"soybean";0
"-39p75.-12p75.BRA";2020;"soybean";2.50000000000001e-05
"-39p75.-13p25.BRA";2020;"soybean";0
"-39p75.-13p75.BRA";2020;"soybean";0
"-39p75.-14p25.BRA";2020;"soybean";0
"-39p75.-14p75.BRA";2020;"soybean";0
"-39p75.-15p25.BRA";2020;"soybean";0
"-39p75.-15p75.BRA";2020;"soybean";0
"-39p75.-16p25.BRA";2020;"soybean";0
